(written by ASE)

15 atoms
2 atom types

0.0                      15  xlo xhi
0.0                      15  ylo yhi
0.0                      15  zlo zhi

Atoms # atomic

     1   1      4.2303669900000003      4.1742521300000002      8.7125752199999997
     2   1      2.5522721900000001      5.5066943000000004      6.9303261699999998
     3   1      4.7281420799999996      4.1474108699999999      5.9705801999999997
     4   1      2.2034273299999998      5.6306063200000001      10.107576590000001
     5   1      3.4463380099999998              1.49792064      9.6952614799999992
     6   1      3.3754734599999998              3.52488373             11.68442449
     7   1      5.8826946099999997      2.7864401299999999             10.49710883
     8   1      5.2507698500000002      5.5392784300000004              10.8524683
     9   1      5.8221790799999997              2.13573908      7.7835134100000003
    10   1      4.4864317199999997      1.1189444900000001             12.16445912
    11   1      1.3161560699999999      3.3700779999999999      8.4411068100000008
    12   1      5.3932236400000004      1.5959531899999999      5.1273769299999996
    13   1      3.2161675700000001      1.9456036000000001              6.73578455
    14   2     0.91818259000000002      5.4027598399999999      8.4486622899999997
    15   2               1.8168556      1.4014514300000001      8.2813107099999996
